MinTemp,MaxTemp,Precipitation,ReferenceET,Date,City_ID,Province,Latitude,Longitude
-7.38,-4.84,0.78,0.0,1980-01-01,252,Shanxi,37.67841554659951,111.2619503526105
-9.71,-5.54,0.0,0.24,1980-01-02,252,Shanxi,37.67841554659951,111.2619503526105
-14.19,-6.65,0.0,0.29,1980-01-03,252,Shanxi,37.67841554659951,111.2619503526105
-18.68,-7.94,0.0,0.28,1980-01-04,252,Shanxi,37.67841554659951,111.2619503526105
-19.91,-3.95,0.0,0.18,1980-01-05,252,Shanxi,37.67841554659951,111.2619503526105
-14.39,-8.92,0.0,0.31,1980-01-06,252,Shanxi,37.67841554659951,111.2619503526105
-19.67,-3.36,0.0,0.24,1980-01-07,252,Shanxi,37.67841554659951,111.2619503526105
-17.2,-1.54,0.0,0.34,1980-01-08,252,Shanxi,37.67841554659951,111.2619503526105
-19.38,-3.27,0.0,0.38,1980-01-09,252,Shanxi,37.67841554659951,111.2619503526105
-19.17,-7.91,0.0,0.45,1980-01-10,252,Shanxi,37.67841554659951,111.2619503526105
-22.32,-6.66,0.0,0.28,1980-01-11,252,Shanxi,37.67841554659951,111.2619503526105
-19.14,-5.9,0.0,0.43,1980-01-12,252,Shanxi,37.67841554659951,111.2619503526105
-18.4,-5.42,0.0,0.4,1980-01-13,252,Shanxi,37.67841554659951,111.2619503526105
-19.24,-5.85,0.0,0.51,1980-01-14,252,Shanxi,37.67841554659951,111.2619503526105
-19.2,-2.86,0.0,0.43,1980-01-15,252,Shanxi,37.67841554659951,111.2619503526105
-18.09,-2.29,0.0,0.52,1980-01-16,252,Shanxi,37.67841554659951,111.2619503526105
-17.72,1.23,0.0,0.51,1980-01-17,252,Shanxi,37.67841554659951,111.2619503526105
-10.56,-2.33,0.0,0.52,1980-01-18,252,Shanxi,37.67841554659951,111.2619503526105
-17.18,-4.0,0.0,0.59,1980-01-19,252,Shanxi,37.67841554659951,111.2619503526105
-18.01,-3.16,0.0,0.62,1980-01-20,252,Shanxi,37.67841554659951,111.2619503526105
-17.09,-0.18,0.0,0.63,1980-01-21,252,Shanxi,37.67841554659951,111.2619503526105
