City_ID_a,City_ID_b
27,28
27,33
27,34
27,36
27,222
28,33
28,34
28,38
28,260
28,264
28,265
28,266
33,34
33,36
33,39
33,225
34,38
34,225
36,37
36,38
36,218
36,220
37,218
37,220
38,260
38,264
38,265
38,266
39,225
97,100
97,106
97,109
97,249
97,258
100,102
100,106
100,109
100,112
100,249
100,251
100,258
102,109
102,112
106,109
106,234
106,236
106,238
106,242
106,249
107,251
107,262
107,264
109,112
109,249
112,235
207,208
207,210
207,211
207,214
207,215
208,210
208,211
208,214
208,215
210,211
210,214
210,215
211,214
211,215
211,253
211,255
214,215
218,220
218,222
219,220
219,221
220,221
220,222
223,224
223,225
223,226
223,228
223,229
223,230
224,225
224,226
224,228
224,229
224,230
225,226
225,228
225,229
225,230
226,228
226,229
226,230
228,229
228,230
229,230
231,232
231,233
231,235
231,238
231,242
231,247
232,233
232,235
232,238
232,242
232,247
233,235
233,238
233,242
233,247
234,236
234,238
234,242
235,238
235,242
235,247
236,238
236,242
238,242
238,247
242,247
249,251
249,258
250,251
250,252
250,255
251,252
251,255
251,258
251,264
252,255
253,255
260,264
260,265
260,266
262,264
263,264
263,266
264,265
264,266
265,266
